country,x,y
Iceland,-218,220
Ireland,-202,24
United Kingdom,-156,2
Norway,-38,110
Sweden,21,180
Finland,80,145
Russia,195,118
Estonia,100,88
Latvia,108,65
Lithuania,82,35
Belarus,120,6
Ukraine,160,-50
Poland,36,-19
Germany,-45,-31
Czech,6,-62
Slovakia,55,-76
Hungary,46,-105
Romania,105,-114
Bulgaria,124,-165
Austria,7,-91
Slovenia,12,-117
Croatia,33,-130
Serbia,82,-158
belgium,44,-145
Montenegro,10,-172
Greece,100,-215
Albania,45,-200
North Macedonia,100,-190
Italy,-52,-133
Switzerland,-92,-110
France,-140,-86
Spain,-206,-172
Portugal,-295,-180
Malta,16,-280
Belgium,-107,-42
Netherlands,-98,-16
Denmark,-65,40
Cyprus,252,-270
Luxembourg,-95,-60
Monaco,-85,-161
Moldova,155,-85